"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Parental_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"1","MVZ:Mamm:237788","Brazil","FMM192","Female","N0",NA,192,NA,NA,NA,166,86,18,15,17.25,80,"NA",NA
"2","MVZ:Mamm:237790","Brazil","FMM202","Female","N0",NA,202,NA,NA,NA,137,75,16.1,14,13.3,62,"NA",NA
"3","MVZ:Mamm:236480","Brazil","FMM209","Female","N0",NA,209,NA,NA,NA,169,88,17,14,14.4,81,"NA",NA
"4","MVZ:Mamm:236563","Brazil","FMM216","Female","N0",NA,216,NA,NA,NA,173,87,19,15,12.8,86,"NA",NA
"5","NA","Brazil","FMM218","Female","N0",NA,218,NA,NA,NA,162.5,76.5,17.1,12.5,13.5,86,"NA",NA
"6","MVZ:Mamm:237792","Brazil","FMM221","Female","N0",NA,221,NA,NA,NA,165,77,18,15,18,88,"NA",NA
"7","MVZ:Mamm:236481","Brazil","FMM223","Female","N0",NA,223,NA,NA,NA,151,72,17,14,10.2,79,"NA",NA
"8","MVZ:Mamm:237794","Brazil","FMM224","Female","N0",NA,224,NA,NA,NA,166,88,16.75,15,14.25,78,"NA",NA
"9","MVZ:Mamm:236478","Brazil","FMM227","Female","N0",NA,227,NA,NA,NA,170,79,18,14.5,12.8,91,"NA",NA
"10","MVZ:Mamm:236564","Brazil","FMM232","Female","N0",NA,232,NA,NA,NA,149,78,14,13,12.75,71,"NA",NA
"11","MVZ:Mamm:236479","Brazil","FMM238","Female","N0",NA,238,NA,NA,NA,178,89,17.5,13.1,19.9,89,"NA",NA
"12","MVZ:Mamm:236565","Brazil","FMM240","Female","N0",NA,240,NA,NA,NA,180,96,18,19,16.25,84,"NA",NA
"13","MVZ:Mamm:236566","Brazil","FMM245","Female","N0",NA,245,NA,NA,NA,162,80,17.2,12.5,11.7,82,"NA",NA
"14","MVZ:Mamm:237799","Brazil","FMM250","Female","N0",NA,250,NA,NA,NA,173,89,18,14,12,84,"NA",NA
"15","MVZ:Mamm:236488","Brazil","FMM254","Female","N0",NA,254,NA,NA,NA,171,81,17,12.5,13.8,90,"NA",NA
"16","NA","Brazil","FMM255","Female","N0",NA,255,NA,NA,NA,175,92,17,15,15,83,"NA",NA
"17","NA","Brazil","FMM260","Female","N0",NA,260,NA,NA,NA,166,86,16,17,14,80,"NA",NA
"18","NA","Brazil","FMM261","Female","N0",NA,261,NA,NA,NA,176,88,18,14,18.9,88,"NA",NA
"19","NA","Brazil","FMM262","Female","N0",NA,262,NA,NA,NA,160,82,16,14,13.6,78,"NA",NA
"20","MVZ:Mamm:236483","Brazil","FMM263","Female","N0",NA,263,NA,NA,NA,153,74,16,13,13.1,79,"NA",NA
"21","MVZ:Mamm:237784","Brazil","FMM191","Male","N0",NA,NA,191,NA,NA,153,80,17,12,11.4,73,"NA",NA
"22","MVZ:Mamm:237789","Brazil","FMM193","Male","N0",NA,NA,193,NA,NA,139,NA,18,17,15.5,77,"NA","damaged tail"
"23","MVZ:Mamm:236475","Brazil","FMM208","Male","N0",NA,NA,208,NA,NA,180,90,19,16,16,90,"NA",NA
"24","MVZ:Mamm:236477","Brazil","FMM213","Male","N0",NA,NA,213,NA,NA,170,83,18,14,12.9,87,"NA",NA
"25","MVZ:Mamm:237791","Brazil","FMM215","Male","N0",NA,NA,215,NA,NA,174,82,18,14,18.5,92,"NA",NA
"26","MVZ:Mamm:237793","Brazil","FMM222","Male","N0",NA,NA,222,NA,NA,175,95,17,15,15.75,80,"NA",NA
"27","MVZ:Mamm:237795","Brazil","FMM225","Male","N0",NA,NA,225,NA,NA,172,82,17.7,13,18,90,"NA",NA
"28","NA","Brazil","FMM226","Male","N0",NA,NA,226,NA,NA,188,99,19,14,18.8,89,"NA",NA
"29","MVZ:Mamm:236482","Brazil","FMM228","Male","N0",NA,NA,228,NA,NA,147,74,17,16,14.5,73,"NA",NA
"30","MVZ:Mamm:237796","Brazil","FMM239","Male","N0",NA,NA,239,NA,NA,162,87,18,15,16,75,"NA",NA
"31","NA","Brazil","FMM241","Male","N0",NA,NA,241,NA,NA,157,78,17,14,14.5,79,"NA",NA
"32","MVZ:Mamm:236484","Brazil","FMM246","Male","N0",NA,NA,246,NA,NA,176,77,14,14,17.75,99,"NA",NA
"33","MVZ:Mamm:237797","Brazil","FMM247","Male","N0",NA,NA,247,NA,NA,146,NA,17.8,13.5,15.5,89,"NA","damaged tail"
