"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Midparent_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"1","NA","Brazil","FMM373","Female","N2","254x215",254,215,"254x215_B1xB2","B1",166,76,16,15,16.8,90,293,NA
"2","MVZ:Mamm:236575","Brazil","FMM377","Female","N2","221x215",221,215,"221x215_B1xB2","B1",172,80,17,14,13.7,92,300,NA
"3","NA","Brazil","FMM406","Female","N2","263x249",263,249,"263x249_A1xA2","A1",161,81,17,14.5,12,80,308,NA
"4","NA","Brazil","FMM421","Female","N2","222x254",254,222,"222x254_A1xA2","A1",181,80,16,14,16.9,101,191,NA
"5","NA","Brazil","FMM428","Female","N2","228x238",238,228,"238x228_B1xB2","B1",160,87,17,14,15.9,73,191,NA
"6","NA","Brazil","FMM437","Female","N2","255x193",255,193,"255x193_A1xA8","A1",185,86,17,16,16.8,99,275,NA
"7","NA","Brazil","FMM440","Female","N2","224x225",224,225,"224x225_A1xA2","A1",171,82,19,14,16.2,89,282,NA
"8","NA","Brazil","FMM442","Female","N2","261x239",261,239,"261x239_B5xB6","B5",175,87,18,14,23.3,88,359,NA
"9","NA","Brazil","FMM443","Female","N2","209x208",209,208,"209x208_A1xA2","A1",165,83,19,14,15,82,357,NA
"10","NA","Brazil","FMM453","Female","N2","222x254",254,222,"222x254_A5xA6","A5",181,93,15,14,20.2,88,147,NA
"11","NA","Brazil","FMM458","Female","N2","228x238",238,228,"238x228_A1xA2","A1",162,78,18,13,14.8,84,183,NA
"12","NA","Brazil","FMM525","Female","N2","202x246",202,246,"202x246_B3xB6","B3",160,80,18,14,16.5,80,279,NA
"13","NA","Brazil","FMM534","Female","N2","250x247",250,247,"250x247_A3xA2","A3",169,82,18,13,15.6,87,180,NA
"14","NA","Brazil","FMM538","Female","N2","260x220",260,220,"260x220_A1xA2","A1",169,76,16,13,18.8,93,222,NA
"15","NA","Brazil","FMM542","Female","N2","250x247",250,247,"250x247_A1xA2","A1",168,81,18,13,16.8,87,194,NA
"16","NA","Brazil","FMM393","Male","N2","224x225",224,225,"224x224_XxB2","B2",176,95,19,15,15.8,81,315,NA
"17","NA","Brazil","FMM396","Male","N2","254x215",254,215,"254x215_B1xB2","B2",162,82,18,14,20.2,80,308,NA
"18","NA","Brazil","FMM410","Male","N2","263x249",263,249,"263x249_A1xA2","A2",134,NA,18,NA,15.2,134,353,NA
"19","NA","Brazil","FMM424","Male","N2","222x254",254,222,"222x254_A1xA2","A2",181,87,18,14,17.9,94,191,NA
"20","NA","Brazil","FMM426","Male","N2","228x238",238,228,"238x228_B1xB2","B2",160,77,17,14,15.8,83,191,NA
"21","NA","Brazil","FMM430","Male","N2","221x215",221,215,"221x215_B1xB2","B2",159,81,19,13,15.9,78,308,NA
