"","DOB","DateMeasured","Age_days","Age_weeks","Population","Generation","Line","Mouse_ID","Sex","Environment","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Final_Tail_Length_mm","Body_Length_mm","BMI_kg_m2"
"1","6/9/18","8/25/18",77,11,"Brazil","N12","MANB","222x254_BZ1","Female","Cold",156,70,17,13,13.49,70,86,1.823958897
"2","6/9/18","8/25/18",77,11,"Brazil","N12","MANB","222x254_BZ2","Male","Cold",163,76,17,13,15.81,76,87,2.088783195
"3","6/9/18","8/25/18",77,11,"Brazil","N12","MANB","222x254_BZ3","Female","Warm",163,78,17,18,13.48,78,85,1.865743945
"4","7/20/18","10/9/18",81,11.57,"Brazil","N12","MANB","222x254_BZ5","Female","Warm",169,81,18,NA,13.34,82,87,1.762452107
"5","7/20/18","10/9/18",81,11.57,"Brazil","N12","MANB","222x254_BZ7","Female","Cold",153.5,74,16,12,12.36,74,79.5,1.955618844
"6","7/20/18","10/9/18",81,11.57,"Brazil","N12","MANB","222x254_BZ9","Female","Cold",162,78,18,13,13.96,78,84,1.97845805
"7","7/20/18","10/9/18",81,11.57,"Brazil","N12","MANB","222x254_BZ4","Male","Warm",166.5,80,17,12.5,14.9,79.5,87,1.968555952
"8","8/12/18","10/27/18",76,10.86,"Brazil","N12","MANB","222x254_BZ11","Female","Warm",158,75,17,13,11.96,75,83,1.736101031
"9","8/12/18","10/27/18",76,10.86,"Brazil","N12","MANB","222x254_BZ13","Female","Cold",161,74.5,17.5,13,13.04,73,88,1.683884298
"10","8/12/18","10/27/18",76,10.86,"Brazil","N12","MANB","222x254_BZ15","Female","Cold",155,74,17,13,12.76,74,81,1.944825484
"11","8/12/18","10/27/18",76,10.86,"Brazil","N12","MANB","222x254_BZ6","Male","Warm",162,82,17,14,15.71,81.5,80.5,2.424289186
"12","8/12/18","10/27/18",76,10.86,"Brazil","N12","MANB","222x254_BZ8","Male","Warm",166,77.5,17,13,14.01,77.5,88.5,1.78875802
"13","8/12/18","10/27/18",76,10.86,"Brazil","N12","MANB","222x254_BZ10","Male","Cold",165,79,18,13,14.85,78.5,86.5,1.984697117
"14","7/17/18","9/29/18",74,10.57,"Brazil","N11","MANA","193x255_BZ1","Female","Cold",148,72.5,17,13,10.89,72.5,75.5,1.910442524
"15","7/17/18","9/29/18",74,10.57,"Brazil","N11","MANA","193x255_BZ2","Male","Warm",145,75.5,17,13.5,10.35,76,69,2.173913043
"16","7/17/18","9/29/18",74,10.57,"Brazil","N11","MANA","193x255_BZ4","Male","Warm",164.5,85,17.5,14.5,14.42,83,81.5,2.170951108
"17","7/17/18","9/29/18",74,10.57,"Brazil","N11","MANA","193x255_BZ6","Male","Cold",148,71.5,17,13.5,12.52,73,75,2.225777778
"18","8/13/18","10/27/18",75,10.71,"Brazil","N11","MANA","193x255_BZ3","Female","Cold",143,74,17,14,10.95,72.5,70.5,2.203108496
"19","8/13/18","10/27/18",75,10.71,"Brazil","N11","MANA","193x255_BZ5","Female","Warm",144,74.5,17,14,9.38,74.5,69.5,1.941928472
"20","8/13/18","10/27/18",75,10.71,"Brazil","N11","MANA","193x255_BZ7","Female","Warm",158,81,17.5,14,12.03,81,77,2.029009951
"21","8/13/18","10/27/18",75,10.71,"Brazil","N11","MANA","193x255_BZ8","Male","Cold",150.5,77,18,14,12.92,76,74.5,2.327823071
"22","8/13/18","10/27/18",75,10.71,"Brazil","N11","MANA","193x255_BZ9","Female","Warm",157.5,79.5,17,15,11.39,79.5,78,1.872123603
"23","9/8/18","11/21/18",74,10.57,"Brazil","N11","MANA","193x255_BZ11","Female","Warm",149,80.5,17,14,10.71,79.5,69.5,2.217276538
"24","9/8/18","11/21/18",74,10.57,"Brazil","N11","MANA","193x255_BZ10","Male","Warm",151.5,78.5,17,14,12.78,78.5,73,2.398198536
"25","9/8/18","11/21/18",74,10.57,"Brazil","N11","MANA","193x255_BZ12","Male","Cold",149,77,17,13.5,13.18,76,73,2.473259523
"26","9/8/18","11/21/18",74,10.57,"Brazil","N11","MANA","193x255_BZ14","Male","Warm",150,78,17.5,14,10.96,78,72,2.114197531
"27","9/8/18","11/21/18",74,10.57,"Brazil","N11","MANA","193x255_BZ13","Male","Cold",146,72,17,13,11.59,70.5,75.5,2.033244156
"28","10/29/2018","01/16/2019",79,11.29,"Brazil","N11","MANA","193x255_BZ19","Female","Cold",143,72,17,13,10.86,71,72,2.094907407
"29","10/29/2018","01/16/2019",79,11.29,"Brazil","N11","MANA","193x255_BZ21","Female","Cold",147,73,17,13.5,11.83,73,74,2.160336012
"30","10/29/2018","01/16/2019",79,11.29,"Brazil","N11","MANA","193x255_BZ23","Female","Warm",156,78,17,14,11.79,77.5,78.5,1.913262201
"31","11/23/2018","02/02/2019",71,10.14,"Brazil","N11","MANA","193x255_BZ18","Male","Warm",149,81,17,14,10.92,80,69,2.293635791
"32","11/23/2018","02/02/2019",71,10.14,"Brazil","N11","MANA","193x255_BZ20","Male","Cold",152,74.5,17.5,13,12.29,74,78,2.020052597
"33","11/23/2018","02/02/2019",71,10.14,"Brazil","N11","MANA","193x255_BZ25","Female","Cold",150,76,17,13.5,11.62,75.5,74.5,2.093599387
"34","11/23/2018","02/02/2019",71,10.14,"Brazil","N11","MANA","193x255_BZ27","Female","Warm",156,80,17,14,10.87,80.5,75.5,1.906933906
"35","11/23/2018","02/02/2019",71,10.14,"Brazil","N11","MANA","193x255_BZ29","Female","Cold",148,74.5,17,13,11.34,73,75,2.016
"36","12/18/2018","03/02/2019",74,10.57,"Brazil","N11","MANA","193x255_BZ31","Female","Warm",153,79,17,14,11.61,79,74,2.120160701
"37","12/18/2018","03/02/2019",74,10.57,"Brazil","N11","MANA","193x255_BZ33","Female","Cold",147,71,17.5,12.5,11.81,71,76,2.04466759
"38","02/01/2019","04/22/2019",80,11.43,"Brazil","N11","MANA","193x255_BZ26","Male","Cold",151,73,18,13.5,12.87,72.5,78.5,2.088522861
"39","02/01/2019","04/21/2019",79,11.29,"Brazil","N11","MANA","193x255_BZ28","Male","Cold",156.5,74,18,13.5,14.05,75,81.5,2.115247092
"40","02/01/2019","04/21/2019",79,11.29,"Brazil","N11","MANA","193x255_BZ30","Male","Warm",160,83,18,14,14.05,83,77,2.369708214
"41","6/10/18","8/26/18",77,11,"New York","N12","SARB","82x81_NY1","Female","Cold",155,62,18,13,18.1,64.5,90.5,2.209944751
"42","6/10/18","8/26/18",77,11,"New York","N12","SARB","82x81_NY2","Male","Warm",176,69,18.5,14.5,21.84,72,104,2.019230769
"43","6/10/18","8/26/18",77,11,"New York","N12","SARB","82x81_NY4","Male","Cold",162,64,18,14,18.38,65.5,96.5,1.973744262
"44","6/10/18","8/26/18",77,11,"New York","N12","SARB","82x81_NY6","Male","Cold",156,65,18,13,18.38,66.5,89.5,2.294560095
"45","6/10/18","8/26/18",77,11,"New York","N12","SARB","82x81_NY8","Male","Warm",165,69,18,15,21.35,71.5,93.5,2.442163059
"46","6/10/18","8/26/18",77,11,"New York","N12","SARB","82x81_NY10","Male","Warm",171,68,17,14,19.23,70.5,100.5,1.903913269
"47","7/7/18","9/17/18",72,10.29,"New York","N12","SARB","82x81_NY3","Female","Warm",162,69,18.5,14,17.72,71,91,2.139838184
"48","7/7/18","9/17/18",72,10.29,"New York","N12","SARB","82x81_NY5","Female","Cold",158,66.5,18,13.5,17.8,67,91,2.149498853
"49","7/7/18","9/17/18",72,10.29,"New York","N12","SARB","82x81_NY7","Female","Warm",164,67,18,14.5,16.61,67.5,96.5,1.783672045
"50","8/19/18","11/3/18",76,10.86,"New York","N12","SARB","82x81_NY9","Female","Cold",144,63,17.5,13,15.72,63.5,80.5,2.425832337
"51","8/19/18","11/3/18",76,10.86,"New York","N12","SARB","82x81_NY11","Female","Cold",156,71,18,14,19.59,71.5,84.5,2.743601415
"52","8/19/18","11/3/18",76,10.86,"New York","N12","SARB","82x81_NY12","Male","Cold",163,74,18.5,13.5,23.48,74.5,88.5,2.997861406
"53","8/19/18","11/3/18",76,10.86,"New York","N12","SARB","82x81_NY13","Female","Warm",154,69,17.5,14,16.36,69,85,2.264359862
"54","8/19/18","11/3/18",76,10.86,"New York","N12","SARB","82x81_NY15","Female","Cold",156.5,70,18,14,18.88,70,86.5,2.523305156
"55","8/19/18","11/3/18",76,10.86,"New York","N12","SARB","82x81_NY17","Female","Warm",156,70,17,14,16.82,70,86,2.274202271
"56","6/29/18","9/10/18",73,10.43,"New York","N11","SARA","19x13_NY1","Female","Warm",171,71,18.5,13.5,12.96,72,99,1.32231405
"57","6/29/18","9/10/18",73,10.43,"New York","N11","SARA","19x13_NY2","Male","Warm",168,75.5,18,13,14.52,75.5,92.5,1.697005113
"58","6/29/18","9/10/18",73,10.43,"New York","N11","SARA","19x13_NY3","Female","Warm",151,69.5,18,14,13.13,71,80,2.0515625
"59","6/29/18","9/10/18",73,10.43,"New York","N11","SARA","19x13_NY4","Male","Cold",163.5,71,18.5,13,15.3,70.5,93,1.768990635
"60","6/29/18","9/10/18",73,10.43,"New York","N11","SARA","19x13_NY5","Female","Cold",163.5,69,18.5,13,12.52,69.5,94,1.416930738
"61","7/20/18","10/1/18",73,10.43,"New York","N11","SARA","19x13_NY7","Female","Cold",161,72,18,12.5,16.76,73,88,2.164256198
"62","7/20/18","10/1/18",73,10.43,"New York","N11","SARA","19x13_NY6","Male","Cold",160,70,18.5,12,18.52,71.5,88.5,2.364582336
"63","7/20/18","10/1/18",73,10.43,"New York","N11","SARA","19x13_NY8","Male","Warm",155,69,18,13,13,70.5,84.5,1.820664543
"64","8/10/18","10/22/18",73,10.43,"New York","N11","SARA","19x13_NY9","Female","Warm",160,74,18,13.5,14.48,74,86,1.957815035
"65","8/10/18","10/22/18",73,10.43,"New York","N11","SARA","19x13_NY10","Male","Cold",159,72.5,18,13,17.06,73,86,2.306652244
"66","8/10/18","10/22/18",73,10.43,"New York","N11","SARA","19x13_NY12","Male","Warm",164,73.5,19,14,19.11,76.5,87.5,2.496
"67","11/13/2018","01/26/2019",74,10.57,"New York","N11","SARA","19x13_NY11","Female","Cold",155,69,18,13,14.6,69,86,1.974040022
"68","11/13/2018","01/26/2019",74,10.57,"New York","N11","SARA","19x13_NY13","Female","Cold",144,65,17.5,13,13.62,66,78,2.238658777
"69","11/13/2018","01/26/2019",74,10.57,"New York","N11","SARA","19x13_NY14","Male","Cold",155,69,18,13,15.52,69.5,85.5,2.123046407
"70","11/13/2018","01/26/2019",74,10.57,"New York","N11","SARA","19x13_NY15","Female","Warm",146.5,67.5,18,13,11.32,67.5,79,1.813811889
"71","12/30/2018","03/17/2019",77,11,"New York","N11","SARA","19x13_NY16","Male","Cold",154,66.5,18,12.5,16.2,68,86,2.190373175
"72","12/30/2018","03/17/2019",77,11,"New York","N11","SARA","19x13_NY17","Female","Cold",158.5,66,17,12,12.78,66.5,92,1.509924386
"73","12/30/2018","03/17/2019",77,11,"New York","N11","SARA","19x13_NY18","Male","Warm",160,69,18,13,16,69,91,1.9321338
"74","04/06/2019","06/20/2019",75,10.71,"New York","N12","SARA","19x13_NY23","Female","Cold",159,73,19,13.5,16.69,74.5,84.5,2.33745317
"75","04/06/2019","06/18/2019",73,10.43,"New York","N12","SARA","19x13_NY24","Male","Warm",158,72,19,14,17.95,73,85,2.484429066
"76","04/06/2019","06/20/2019",75,10.71,"New York","N12","SARA","19x13_NY25","Female","Warm",151,70,18.5,14,14.08,70.5,80.5,2.172755681
"77","04/06/2019","06/18/2019",73,10.43,"New York","N12","SARA","19x13_NY26","Male","Cold",164,74,20,13.5,17.3,73,91,2.089119672
"78","04/28/2019","07/19/2019",82,11.71,"New York","N12","SARA","19x13_NY32","Male","Cold",167,72.5,19,13.5,17.44,73,94,1.973743775
"79","04/28/2019","07/19/2019",82,11.71,"New York","N12","SARA","19x13_NY33","Female","Warm",159,71.5,19,14,17.23,72,87,2.27639054
"80","04/28/2019","07/19/2019",82,11.71,"New York","N12","SARA","19x13_NY34","Male","Warm",156.5,72,19,14,16.31,72,84.5,2.284233745
