"","Age_days","Age_weeks","Age_category","Population","Generation","Line","Mouse_ID","Sex","Environment","Body_Weight_g","Tail_Length_mm","PopEnv"
"1",21,3,"weaning","Brazil","N11","MANA","193x255_BZ1","Female","Cold",5.81,60,"Brazil - Cold"
"2",21,3,"weaning","Brazil","N11","MANA","193x255_BZ2","Male","Warm",4.62,54,"Brazil - Warm"
"3",21,3,"weaning","Brazil","N11","MANA","193x255_BZ4","Male","Warm",5.88,60,"Brazil - Warm"
"4",21,3,"weaning","Brazil","N11","MANA","193x255_BZ6","Male","Cold",6.06,62,"Brazil - Cold"
"5",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ1","Female","Cold",7.16,63,"Brazil - Cold"
"6",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ2","Male","Warm",5.57,55.5,"Brazil - Warm"
"7",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ4","Male","Warm",6.79,63.5,"Brazil - Warm"
"8",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ6","Male","Cold",7.58,64.5,"Brazil - Cold"
"9",32,4.571428571,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",8.55,64.5,"Brazil - Cold"
"10",32,4.571428571,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",8.46,62.5,"Brazil - Warm"
"11",32,4.571428571,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",10.12,69,"Brazil - Warm"
"12",32,4.571428571,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",9.76,65,"Brazil - Cold"
"13",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",9.13,65.5,"Brazil - Cold"
"14",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",9.21,67,"Brazil - Warm"
"15",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",12.2,73.5,"Brazil - Warm"
"16",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",10.74,66.5,"Brazil - Cold"
"17",46,6.571428571,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.11,67.5,"Brazil - Cold"
"18",46,6.571428571,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",9.02,70.5,"Brazil - Warm"
"19",46,6.571428571,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",12.97,77.5,"Brazil - Warm"
"20",46,6.571428571,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.58,71,"Brazil - Cold"
"21",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.9,70,"Brazil - Cold"
"22",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",9.78,74,"Brazil - Warm"
"23",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",13.5,79,"Brazil - Warm"
"24",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.69,71.5,"Brazil - Cold"
"25",61,8.714285714,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.96,71,"Brazil - Cold"
"26",61,8.714285714,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",10.16,74,"Brazil - Warm"
"27",61,8.714285714,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",13.93,82.5,"Brazil - Warm"
"28",61,8.714285714,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.95,73,"Brazil - Cold"
"29",68,9.714285714,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.92,72,"Brazil - Cold"
"30",68,9.714285714,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",10.18,76,"Brazil - Warm"
"31",68,9.714285714,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",14.36,83,"Brazil - Warm"
"32",68,9.714285714,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.98,73,"Brazil - Cold"
"33",74,10.57142857,"endexp","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.89,72.5,"Brazil - Cold"
"34",74,10.57142857,"endexp","Brazil","N11","MANA","193x255_BZ2","Male","Warm",10.35,76,"Brazil - Warm"
"35",74,10.57142857,"endexp","Brazil","N11","MANA","193x255_BZ4","Male","Warm",14.42,83,"Brazil - Warm"
"36",74,10.57142857,"endexp","Brazil","N11","MANA","193x255_BZ6","Male","Cold",12.52,73,"Brazil - Cold"
"37",21,3,"weaning","Brazil","N11","MANA","193x255_BZ3","Female","Cold",6,60,"Brazil - Cold"
"38",21,3,"weaning","Brazil","N11","MANA","193x255_BZ5","Female","Warm",5.26,56.5,"Brazil - Warm"
"39",21,3,"weaning","Brazil","N11","MANA","193x255_BZ7","Female","Warm",6.54,62,"Brazil - Warm"
"40",21,3,"weaning","Brazil","N11","MANA","193x255_BZ8","Male","Cold",6.42,61.5,"Brazil - Cold"
"41",21,3,"weaning","Brazil","N11","MANA","193x255_BZ9","Female","Warm",6.44,61.5,"Brazil - Warm"
"42",24,3.428571429,"startexp","Brazil","N11","MANA","193x255_BZ3","Female","Cold",6.51,63,"Brazil - Cold"
"43",24,3.428571429,"startexp","Brazil","N11","MANA","193x255_BZ5","Female","Warm",5.82,59.5,"Brazil - Warm"
