USE_LICENSE_URL,COLLECTOR_ID,GUID,SCIENTIFIC_NAME,GENUS,SPECIES,COLLECTORS,CONTINENT_OCEAN,COUNTRY,STATE_PROV,COUNTY,MIN_ELEV_IN_M,MAX_ELEV_IN_M,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ELEV_IN_M,DEPTH_IN_M,SPEC_LOCALITY,LOCALITY_REMARKS,VERBATIM_LOCALITY,VERBATIM_DATE,DAY_COLLECTED,MONTH_COLLECTED,YEAR_COLLECTED,VERBATIM_COORDINATES,ORIG_LAT_LONG_UNITS,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS,DATUM,FORMATTED_SCIENTIFIC_NAME,COLL_EVENT_REMARKS,ASSOCIATED_SPECIES,AGE,AGE_CLASS,BODY_CONDITION,BODY_WIDTH,CALCAR_LENGTH,DESCRIPTION,DIMENSIONS,EAR_FROM_NOTCH,EAR_LENGTH_MM,EMBRYO_WEIGHT,HEAD_LENGTH,HEAD_WIDTH,HEIGHT,HIND_FOOT_WITH_CLAW,HIND_FOOT_LENGTH_MM,HIND_LIMB_LENGTH,LEFT_GONAD_LENGTH,LEFT_GONAD_WIDTH,MAXIMUM_STANDARD_LENGTH,MAXIMUM_TOTAL_LENGTH,MINIMUM_STANDARD_LENGTH,MINIMUM_TOTAL_LENGTH,REPRODUCTIVE_DATA,REPRODUCTIVE_STATUS,RIGHT_GONAD_LENGTH,RIGHT_GONAD_WIDTH,SEX,STANDARD_LENGTH,TAIL_BASE_WIDTH,TAIL_CONDITION,TAIL_LENGTH,TAIL_LENGTH_MM,TOTAL_LENGTH,TOTAL_LENGTH_MM,VERBATIM_COLLECTOR,WEIGHT,BODY_WEIGHT_G,BODY_LENGTH_MM,NOTES
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:235950,Mus musculus,Mus,Mus musculus,Felipe Martins,North America,United States,Colorado,Lake County,3062,3062,10046,10046,3062-3062,,"329 Hwy 24, Leadville",residence,"USA, CO, Lake County, 329 Hwy 24, Leadville, Pet shop, 39° 14.259' 00"" N, 106° 17.680' W, elev 10046 ft.",5-Oct-12,5,10,2012,39.23765/-106.2946666667,decimal degrees,39.23765,-106.2946667,100,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,10.5 mm,10.5,,,,,18.5 mm,18.5,,,,,,,,testes abdominal (t = 5x3),,,,male,,,,69 mm,69,126 mm,126,,6.65 g,6.65,57,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:230418,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Ecuador,Santo Domingo,,320,320,1050,1050,320-320,,"Agricultural supply store, Nueva Israel, Santo Domingo",,"South America, Ecuador, Santo Domingo, Agricultural supply store, Nueva Israel, Santo Domingo",12/10/12,10,12,2012,0.00307444,decimal degrees,-0.243916667,-79.33693333,,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,11 mm,11,,,,,15 mm,15,,,,,,,,nulliparous,,,,female,,,,61 mm,61,119 mm,119,,4 g,4,58,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:235951,Mus musculus,Mus,Mus musculus,Felipe Martins,North America,United States,Colorado,Lake County,3062,3062,10046,10046,3062-3062,,"329 Hwy 24, Leadville",residence,"USA, CO, Lake County, 329 Hwy 24, Leadville, Pet shop, 39° 14.259' N, 106° 17.680' W, elev 10046 ft.",5-Oct-12,5,10,2012,39.23765/-106.2946666667,decimal degrees,39.23765,-106.2946667,100,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,11.5 mm,11.5,,,,,19.5 mm,19.5,,,,,,,,testes abdominal; testis 5x3mm,,,,male,,,,76 mm,76,134 mm,134,,7.75 g,7.75,58,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,TAS117,MVZ:Mamm:230465,Mus musculus,Mus,Mus musculus,Taichi Suzuki,North America,Canada,Alberta,Parkland County,719,719,2359,2359,719-719,,"Township Road 522, between Range Rd. 14 and 15, SW of Stony Plain",Hay stack,"Canada; Alberta; Parkland Co.; Township Road 522, between Range Rd. 14 and 15, SW of Stony Plain; Hay stack; 53° 29.014'; 114° 06.245'; 2359ft",7/31/12,31,7,2012,53.4835666667/-114.1040833333,decimal degrees,53.48356667,-114.1040833,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,12 mm,12,,,,,17.5 mm,17.5,,,,,,,,,,,,female,,,,66 mm,66,125 mm,125,,7.2 g,7.2,59,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:230387,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Ecuador,Pichincha,,1377,1377,4519,4519,1377-1377,,"Farm, ruta Nanegalito-Nanegal, Nanegalito",,"South America, Ecuador, Pichinicha, Farm, ruta Nanegalito-Nanegal, Nanegalito",12/4/12,4,12,2012,.0907666667/-78.6978333333,decimal degrees,0.0741,-78.66811667,,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,12 mm,12,,,,,18 mm,18,,,,,,,,,,,,male,,,,71 mm,71,130 mm,130,,9.5 g,9.5,59,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:231387,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Brazil,Rondonia,,79,79,258,258,79-79,,Proto Velho,Bairro Cascalheiras; residence,"Brazil; Rondônia; Porto Velho; Bairro Cascalheiras; residence; S 08 °46' 32.3"" ; 63° 50' 14.1""; 258ft",9/17/13,17,9,2013,0.137415343,decimal degrees,-8.772,-63.83566667,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,13 mm,13,,,,,17 mm,17,,,,,,,,nulliparous,,,,female,,,,61 mm,61,121 mm,121,,4.5 g,4.5,60,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:230335,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Ecuador,Cotopaxi,,2973,2973,9755,9755,2973-2973,,"Chicken farm, Alaques, Latacunga",,Ecuador; Provincia Cotopaxi; Latacunga; Alaques; S 00° 52.413'; 78° 36.425'; 9755ft,11/15/12,15,11,2012,0.011112866,decimal degrees,-0.87355,-78.60708333,,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,11 mm,11,,,,,17 mm,17,,,,,,,,nulliparous,,,,female,,,,51 mm,51,111 mm,111,,6.65 g,6.65,60,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,TAS070,MVZ:Mamm:230459,Mus musculus,Mus,Mus musculus,Taichi Suzuki,North America,Canada,Alberta,Leduc County,699,699,2294,2294,699-699,,"Range Road 245A and west of 34th Ave, Calmar",CFCW farm,"Canada; Alberta; Leduc Co.; Range Road 245A and west of 34th Ave, Calmar; CFCW farm; 53° 22.789'; 113° 31.642'; 2294ft",7/19/12,19,7,2012,53.3798166667/-113.5273666667,decimal degrees,53.37981667,-113.5273667,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,13 mm,13,,,,,18.5 mm,18.5,,,,,,,,,,,,female,,,,95 mm,95,155 mm,155,,14 g,14,60,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:231378,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Brazil,Rio Grande do Sul,,74,74,242,242,74-74,,Uruguaiana,Fazenda Macedo sede II,"Brazil; Rio Grande do Sul; Uruguaiana; ; Fazenda Macedo sede II; S 29 °49' 45.1"" ; 57° 11' 59.8""; 242ft",6/5/13,5,6,2013,0.521463811,decimal degrees,-29.82416667,-57.19316667,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,10 mm,10,,,,,15 mm,15,,,,,,,,testes abdominal; testis (4x2mm),,,,male,,,,60 mm,60,121 mm,121,,5.5 g,5.5,61,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:231409,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Argentina,Buenos Aires,,201,201,659,659,201-201,,Tandil,Grainerie,Argentina; Buenos Aires; Tandil; Grainerie; S 37 °17.45' ; 59° 12.037'; 659ft,2/6/13,6,2,2013,0.629906164,decimal degrees,-37.29083333,-59.20061667,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,juvenile,,,,,,10 mm,10,,,,,18 mm,18,,,,,,,,testis abd.; testis (4.0 x 2.0 mm),,,,male,,,,63 mm,63,124 mm,124,,6.5 g,6.5,61,
