DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,BodyWeight_g,TailLength_mm
7/17/18,8/7/18,21,3,BRAZIL,N11,193x255,193x255_BZ1,F,RT,5.81,60
7/17/18,8/7/18,21,3,BRAZIL,N11,193x255,193x255_BZ2,M,RT,4.62,54
7/17/18,8/7/18,21,3,BRAZIL,N11,193x255,193x255_BZ4,M,RT,5.88,60
7/17/18,8/7/18,21,3,BRAZIL,N11,193x255,193x255_BZ6,M,RT,6.06,62
7/17/18,8/11/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,7.16,63
7/17/18,8/11/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ2,M,RT,5.57,55.5
7/17/18,8/11/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ4,M,RT,6.79,63.5
7/17/18,8/11/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,7.58,64.5
7/17/18,8/18/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,8.55,64.5
7/17/18,8/18/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ2,M,RT,8.46,62.5
7/17/18,8/18/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ4,M,RT,10.12,69
7/17/18,8/18/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,9.76,65
7/17/18,8/25/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,9.13,65.5
7/17/18,8/25/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ2,M,RT,9.21,67
7/17/18,8/25/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ4,M,RT,12.2,73.5
7/17/18,8/25/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,10.74,66.5
7/17/18,9/1/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.11,67.5
7/17/18,9/1/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ2,M,RT,9.02,70.5
7/17/18,9/1/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ4,M,RT,12.97,77.5
7/17/18,9/1/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.58,71
7/17/18,9/9/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.9,70
7/17/18,9/9/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ2,M,RT,9.78,74
7/17/18,9/9/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ4,M,RT,13.5,79
