DOB,DateMeasured,Age_days,Age_weeks,Age_category,Population,Generation,Line,Mouse_ID,Sex,Environment,BodyWeight_g,TailLength_mm
7/17/18,8/7/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,5.81,60
7/17/18,8/7/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ2,M,RT,4.62,54
7/17/18,8/7/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ4,M,RT,5.88,60
7/17/18,8/7/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,6.06,62
7/17/18,8/11/18,25,3.571428571,startexp,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,7.16,63
7/17/18,8/11/18,25,3.571428571,startexp,BRAZIL,N11,193x255,193x255_BZ2,M,RT,5.57,55.5
7/17/18,8/11/18,25,3.571428571,startexp,BRAZIL,N11,193x255,193x255_BZ4,M,RT,6.79,63.5
7/17/18,8/11/18,25,3.571428571,startexp,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,7.58,64.5
7/17/18,8/18/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,8.55,64.5
7/17/18,8/18/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ2,M,RT,8.46,62.5
7/17/18,8/18/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ4,M,RT,10.12,69
7/17/18,8/18/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,9.76,65
7/17/18,8/25/18,39,5.571428571,na,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,9.13,65.5
7/17/18,8/25/18,39,5.571428571,na,BRAZIL,N11,193x255,193x255_BZ2,M,RT,9.21,67
7/17/18,8/25/18,39,5.571428571,na,BRAZIL,N11,193x255,193x255_BZ4,M,RT,12.2,73.5
7/17/18,8/25/18,39,5.571428571,na,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,10.74,66.5
7/17/18,9/1/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.11,67.5
7/17/18,9/1/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ2,M,RT,9.02,70.5
7/17/18,9/1/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ4,M,RT,12.97,77.5
7/17/18,9/1/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.58,71
7/17/18,9/9/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.9,70
7/17/18,9/9/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ2,M,RT,9.78,74
7/17/18,9/9/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ4,M,RT,13.5,79
7/17/18,9/9/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.69,71.5
7/17/18,9/16/18,61,8.714285714,na,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.96,71
7/17/18,9/16/18,61,8.714285714,na,BRAZIL,N11,193x255,193x255_BZ2,M,RT,10.16,74
7/17/18,9/16/18,61,8.714285714,na,BRAZIL,N11,193x255,193x255_BZ4,M,RT,13.93,82.5
7/17/18,9/16/18,61,8.714285714,na,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.95,73
7/17/18,9/23/18,68,9.714285714,na,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.92,72
7/17/18,9/23/18,68,9.714285714,na,BRAZIL,N11,193x255,193x255_BZ2,M,RT,10.18,76
7/17/18,9/23/18,68,9.714285714,na,BRAZIL,N11,193x255,193x255_BZ4,M,RT,14.36,83
7/17/18,9/23/18,68,9.714285714,na,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.98,73
7/17/18,9/29/18,74,10.57142857,endexp,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.89,72.5
7/17/18,9/29/18,74,10.57142857,endexp,BRAZIL,N11,193x255,193x255_BZ2,M,RT,10.35,76
7/17/18,9/29/18,74,10.57142857,endexp,BRAZIL,N11,193x255,193x255_BZ4,M,RT,14.42,83
7/17/18,9/29/18,74,10.57142857,endexp,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,12.52,73
8/13/18,9/3/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,6,60
8/13/18,9/3/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ5,F,RT,5.26,56.5
8/13/18,9/3/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ7,F,RT,6.54,62
8/13/18,9/3/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,6.42,61.5
8/13/18,9/3/18,21,3,weaning,BRAZIL,N11,193x255,193x255_BZ9,F,RT,6.44,61.5
8/13/18,9/6/18,24,3.428571429,startexp,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,6.51,63
8/13/18,9/6/18,24,3.428571429,startexp,BRAZIL,N11,193x255,193x255_BZ5,F,RT,5.82,59.5
8/13/18,9/6/18,24,3.428571429,startexp,BRAZIL,N11,193x255,193x255_BZ7,F,RT,7.18,65
8/13/18,9/6/18,24,3.428571429,startexp,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,7.02,65.5
8/13/18,9/6/18,24,3.428571429,startexp,BRAZIL,N11,193x255,193x255_BZ9,F,RT,6.67,64
8/13/18,9/14/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,8.31,65
8/13/18,9/14/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ5,F,RT,7.22,61.5
8/13/18,9/14/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ7,F,RT,9.7,71.5
8/13/18,9/14/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,9.66,67
8/13/18,9/14/18,32,4.571428571,na,BRAZIL,N11,193x255,193x255_BZ9,F,RT,9.46,70.5
8/13/18,9/22/18,40,5.714285714,na,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,9.65,67.5
8/13/18,9/22/18,40,5.714285714,na,BRAZIL,N11,193x255,193x255_BZ5,F,RT,8.21,66.5
8/13/18,9/22/18,40,5.714285714,na,BRAZIL,N11,193x255,193x255_BZ7,F,RT,11.33,76.5
8/13/18,9/22/18,40,5.714285714,na,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,11.28,70.5
8/13/18,9/22/18,40,5.714285714,na,BRAZIL,N11,193x255,193x255_BZ9,F,RT,10.81,75.5
8/13/18,9/28/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.13,68.5
8/13/18,9/28/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ5,F,RT,8.64,69
8/13/18,9/28/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ7,F,RT,11.56,77
8/13/18,9/28/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,11.78,71
8/13/18,9/28/18,46,6.571428571,na,BRAZIL,N11,193x255,193x255_BZ9,F,RT,10.84,76
8/13/18,10/6/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.51,69.5
8/13/18,10/6/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.57,71
8/13/18,10/6/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ7,F,RT,12.28,79.5
8/13/18,10/6/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,11.82,73
8/13/18,10/6/18,54,7.714285714,na,BRAZIL,N11,193x255,193x255_BZ9,F,RT,11.2,76
8/13/18,10/12/18,60,8.571428571,na,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.47,71.5
8/13/18,10/12/18,60,8.571428571,na,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.26,72
8/13/18,10/12/18,60,8.571428571,na,BRAZIL,N11,193x255,193x255_BZ7,F,RT,11.88,79.5
8/13/18,10/12/18,60,8.571428571,na,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,12.27,74
8/13/18,10/12/18,60,8.571428571,na,BRAZIL,N11,193x255,193x255_BZ9,F,RT,11.01,79
8/13/18,10/19/18,67,9.571428571,na,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.94,72
8/13/18,10/19/18,67,9.571428571,na,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.69,74.5
8/13/18,10/19/18,67,9.571428571,na,BRAZIL,N11,193x255,193x255_BZ7,F,RT,12.14,80
8/13/18,10/19/18,67,9.571428571,na,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,12.52,75.5
8/13/18,10/19/18,67,9.571428571,na,BRAZIL,N11,193x255,193x255_BZ9,F,RT,11.63,79
8/13/18,10/27/18,75,10.71428571,endexp,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.95,72.5
8/13/18,10/27/18,75,10.71428571,endexp,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.38,74.5
8/13/18,10/27/18,75,10.71428571,endexp,BRAZIL,N11,193x255,193x255_BZ7,F,RT,12.03,81
8/13/18,10/27/18,75,10.71428571,endexp,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,12.92,76
