DOB,DateMeasured,Age_days,Age_weeks,Age_category,Population,Generation,Line,Mouse_ID,Sex,Environment,Body_Weight_g,Tail_Length_mm,PopEnv
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ1,Female,Cold,10.89,72.5,Brazil - Cold
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ2,Male,Warm,10.35,76,Brazil - Warm
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ4,Male,Warm,14.42,83,Brazil - Warm
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ6,Male,Cold,12.52,73,Brazil - Cold
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ3,Female,Cold,10.95,72.5,Brazil - Cold
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ5,Female,Warm,9.38,74.5,Brazil - Warm
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ7,Female,Warm,12.03,81,Brazil - Warm
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ8,Male,Cold,12.92,76,Brazil - Cold
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ9,Female,Warm,11.39,79.5,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ11,Female,Warm,10.71,79.5,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ10,Male,Warm,12.78,78.5,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ12,Male,Cold,13.18,76,Brazil - Cold
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ14,Male,Warm,10.96,78,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ13,Male,Cold,11.59,70.5,Brazil - Cold
10/29/18,1/16/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ19,Female,Cold,10.86,71,Brazil - Cold
10/29/18,1/16/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ21,Female,Cold,11.83,73,Brazil - Cold
10/29/18,1/16/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ23,Female,Warm,11.79,77.5,Brazil - Warm
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ18,Male,Warm,10.92,80,Brazil - Warm
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ20,Male,Cold,12.29,74,Brazil - Cold
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ25,Female,Cold,11.62,75.5,Brazil - Cold
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ27,Female,Warm,10.87,80.5,Brazil - Warm
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ29,Female,Cold,11.34,73,Brazil - Cold
12/18/18,3/2/19,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ31,Female,Warm,11.61,79,Brazil - Warm
12/18/18,3/2/19,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ33,Female,Cold,11.81,71,Brazil - Cold
2/1/19,4/22/19,80,11.43,endexp,Brazil,N11,MANA,193x255_BZ26,Male,Cold,12.87,72.5,Brazil - Cold
2/1/19,4/21/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ28,Male,Cold,14.05,75,Brazil - Cold
2/1/19,4/21/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ30,Male,Warm,14.05,83,Brazil - Warm
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,8.55,64.5,Brazil - Cold
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,8.46,62.5,Brazil - Warm
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,10.12,69,Brazil - Warm
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ6,Male,Cold,9.76,65,Brazil - Cold
7/17/18,8/25/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,9.13,65.5,Brazil - Cold
7/17/18,8/25/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,9.21,67,Brazil - Warm
7/17/18,8/25/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,12.2,73.5,Brazil - Warm
