GUID,Collector_ID,DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,Total_Length_mm,Tail_Length_mm,Hindfoot_Length_mm,Ear_Length_mm,Body_Weight_g,
MVZ:Mamm:240662,MAB196,7/17/18,9/29/18,74,10.57,Brazil,N11,MANA,193x255_BZ1,Female,Cold,148,72.5,17,13,10.89,
MVZ:Mamm:240663,MAB197,7/17/18,9/29/18,74,10.57,Brazil,N11,MANA,193x255_BZ2,Male,Warm,145,76,17,13.5,10.35,
MVZ:Mamm:240664,MAB198,8/13/18,10/27/18,75,10.71,Brazil,N11,MANA,193x255_BZ3,Female,Cold,143,72.5,17,14,10.95,
MVZ:Mamm:240665,MAB199,7/17/18,9/29/18,74,10.57,Brazil,N11,MANA,193x255_BZ4,Male,Warm,164.5,83,17.5,14.5,14.42,
MVZ:Mamm:240666,MAB200,8/13/18,10/27/18,75,10.71,Brazil,N11,MANA,193x255_BZ5,Female,Warm,144,74.5,17,14,9.38,
MVZ:Mamm:240667,MAB201,7/17/18,9/29/18,74,10.57,Brazil,N11,MANA,193x255_BZ6,Male,Cold,148,73,17,13.5,12.52,
MVZ:Mamm:240668,MAB202,8/13/18,10/27/18,75,10.71,Brazil,N11,MANA,193x255_BZ7,Female,Warm,158,81,17.5,14,12.03,
MVZ:Mamm:240669,MAB203,8/13/18,10/27/18,75,10.71,Brazil,N11,MANA,193x255_BZ8,Male,Cold,150.5,76,18,14,12.92,
MVZ:Mamm:240670,MAB204,8/13/18,10/27/18,75,10.71,Brazil,N11,MANA,193x255_BZ9,Female,Warm,157.5,79.5,17,15,11.39,
MVZ:Mamm:240671,MAB205,9/8/18,11/21/18,74,10.57,Brazil,N11,MANA,193x255_BZ10,Male,Warm,151.5,78.5,17,14,12.78,
MVZ:Mamm:240672,MAB206,9/8/18,11/21/18,74,10.57,Brazil,N11,MANA,193x255_BZ11,Female,Warm,149,79.5,17,14,10.71,
MVZ:Mamm:240673,MAB207,9/8/18,11/21/18,74,10.57,Brazil,N11,MANA,193x255_BZ12,Male,Cold,149,76,17,13.5,13.18,
MVZ:Mamm:240674,MAB208,9/8/18,11/21/18,74,10.57,Brazil,N11,MANA,193x255_BZ13,Male,Cold,146,70.5,17,13,11.59,
