"","GUID","Population","Collector_ID","Sex","Generation","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"1","MVZ:Mamm:236478","Brazil","FMM227","Female","N0",170,79,18,14.5,12.8,91,"NA",NA
"2","MVZ:Mamm:236479","Brazil","FMM238","Female","N0",178,89,17.5,13.1,19.9,89,"NA",NA
"3","MVZ:Mamm:236480","Brazil","FMM209","Female","N0",169,88,17,14,14.4,81,"NA",NA
"4","MVZ:Mamm:236481","Brazil","FMM223","Female","N0",151,72,17,14,10.2,79,"NA",NA
"5","MVZ:Mamm:236483","Brazil","FMM263","Female","N0",153,74,16,13,13.1,79,"NA",NA
"6","MVZ:Mamm:236488","Brazil","FMM254","Female","N0",171,81,17,12.5,13.8,90,"NA",NA
"7","MVZ:Mamm:236563","Brazil","FMM216","Female","N0",173,87,19,15,12.8,86,"NA",NA
"8","MVZ:Mamm:236564","Brazil","FMM232","Female","N0",149,78,14,13,12.75,71,"NA",NA
"9","MVZ:Mamm:236565","Brazil","FMM240","Female","N0",180,96,18,19,16.25,84,"NA",NA
"10","MVZ:Mamm:237788","Brazil","FMM192","Female","N0",166,86,18,15,17.25,80,"NA",NA
"11","MVZ:Mamm:237790","Brazil","FMM202","Female","N0",137,75,16.1,14,13.3,62,"NA",NA
"12","MVZ:Mamm:237792","Brazil","FMM221","Female","N0",165,77,18,15,18,88,"NA",NA
"13","MVZ:Mamm:237794","Brazil","FMM224","Female","N0",166,88,16.75,15,14.25,78,"NA",NA
"14","MVZ:Mamm:237799","Brazil","FMM250","Female","N0",173,89,18,14,12,84,"NA",NA
"15","NA","Brazil","FMM218","Female","N0",162.5,76.5,17.1,12.5,13.5,86,"NA",NA
"16","NA","Brazil","FMM255","Female","N0",175,92,17,15,15,83,"NA",NA
"17","NA","Brazil","FMM260","Female","N0",166,86,16,17,14,80,"NA",NA
"18","NA","Brazil","FMM261","Female","N0",176,88,18,14,18.9,88,"NA",NA
"19","NA","Brazil","FMM262","Female","N0",160,82,16,14,13.6,78,"NA",NA
"20","MVZ:Mamm:236475","Brazil","FMM208","Male","N0",180,90,19,16,16,90,"NA",NA
"21","MVZ:Mamm:236477","Brazil","FMM213","Male","N0",170,83,18,14,12.9,87,"NA",NA
"22","MVZ:Mamm:236482","Brazil","FMM228","Male","N0",147,74,17,16,14.5,73,"NA",NA
"23","MVZ:Mamm:236484","Brazil","FMM246","Male","N0",176,77,14,14,17.75,99,"NA",NA
"24","MVZ:Mamm:236568","Brazil","FMM264","Male","N0",161,80,15,14,12,81,"NA",NA
"25","MVZ:Mamm:237784","Brazil","FMM191","Male","N0",153,80,17,12,11.4,73,"NA",NA
"26","MVZ:Mamm:237789","Brazil","FMM193","Male","N0",139,NA,18,17,15.5,77,"NA","damaged tail"
"27","MVZ:Mamm:237791","Brazil","FMM215","Male","N0",174,82,18,14,18.5,92,"NA",NA
"28","MVZ:Mamm:237793","Brazil","FMM222","Male","N0",175,95,17,15,15.75,80,"NA",NA
"29","MVZ:Mamm:237795","Brazil","FMM225","Male","N0",172,82,17.7,13,18,90,"NA",NA
"30","MVZ:Mamm:237796","Brazil","FMM239","Male","N0",162,87,18,15,16,75,"NA",NA
"31","MVZ:Mamm:237797","Brazil","FMM247","Male","N0",146,NA,17.8,13.5,15.5,89,"NA","damaged tail"
"32","MVZ:Mamm:237798","Brazil","FMM249","Male","N0",172,91,16,NA,13.5,81,"NA","damaged ear"
"33","MVZ:Mamm:237800","Brazil","FMM252","Male","N0",156,80,15,15,14.5,76,"NA",NA
"34","NA","Brazil","FMM226","Male","N0",188,99,19,14,18.8,89,"NA",NA
"35","NA","Brazil","FMM241","Male","N0",157,78,17,14,14.5,79,"NA",NA
"36","NA","Brazil","FMM251","Male","N0",173,91,19,14,16.5,82,"NA",NA
"37","NA","Brazil","FMM256","Male","N0",170,87,17.5,14.5,15,83,"NA",NA
"38","MVZ:Mamm:236566","Brazil","FMM245","Female","N0",162,80,17.2,12.5,11.7,82,"NA",NA
"39","NA","New_York","MJS01","Female","N0",173,79,18,14,20.5,94,"NA",NA
"40","NA","New_York","MJS09","Female","N0",188,85,19,12,21.5,103,"NA",NA
"41","NA","New_York","MJS19","Female","N0",192,95,17,15,22.5,97,"NA",NA
"42","NA","New_York","MJS29","Female","N0",190,88,19,14,22,102,"NA",NA
"43","NA","New_York","MJS34","Female","N0",182,85,19,13.5,16.7,97,"NA",NA
"44","NA","New_York","MJS39","Female","N0",179,90,19,15,15.6,89,"NA",NA
"45","NA","New_York","MJS44","Female","N0",191,92,19.8,14,19,99,"NA",NA
"46","NA","New_York","MJS48","Female","N0",178,89,19,16,18.8,89,"NA",NA
"47","NA","New_York","MJS49","Female","N0",179,83,19,NA,22.15,96,"NA","damaged ear"
"48","NA","New_York","MJS54","Female","N0",176,79,19.5,14,24.75,97,"NA",NA
"49","NA","New_York","MJS66","Female","N0",161,82,19,15,16.25,79,"NA",NA
"50","NA","New_York","MJS76","Female","N0",175,86,18,16,19.25,89,"NA",NA
"51","NA","New_York","MJS82","Female","N0",185,96.5,18.6,13.5,23,88.5,"NA",NA
"52","NA","New_York","MJS83","Female","N0",166,82,17,13,13,84,"NA",NA
"53","NA","New_York","MJS84","Female","N0",189,92.5,17.5,14.5,19.6,96.5,"NA",NA
"54","NA","New_York","MJS92","Female","N0",177,85,17,13,18,92,"NA",NA
"55","NA","New_York","MJS105","Female","N0",180,93.5,19,15,16.125,86.5,"NA",NA
"56","NA","New_York","MJS05","Male","N0",175,79,18,15,26.8,96,"NA",NA
"57","NA","New_York","MJS11","Male","N0",174,81,19,16,23.6,93,"NA",NA
"58","NA","New_York","MJS13","Male","N0",190,92,18,15.5,22.5,98,"NA",NA
"59","NA","New_York","MJS38","Male","N0",171,88,20,15,33,83,"NA",NA
"60","NA","New_York","MJS47","Male","N0",167,82,20,15,19.5,85,"NA",NA
"61","NA","New_York","MJS56","Male","N0",166,75,29,16,26.25,91,"NA",NA
"62","NA","New_York","MJS60","Male","N0",191,88,19,14,32.8,103,"NA",NA
"63","NA","New_York","MJS67","Male","N0",193,99,19,15.5,NA,94,"NA",NA
"64","NA","New_York","MJS81","Male","N0",180,88,18,14,20.2,92,"NA",NA
"65","NA","New_York","MJS89","Male","N0",185,90,19.2,14,28.5,95,"NA",NA
"66","NA","New_York","MJS91","Male","N0",182,85,20,15,27.5,97,"NA",NA
"67","NA","New_York","MJS97","Male","N0",185.5,87,20,16,22.25,98.5,"NA",NA
"68","NA","New_York","MJS104","Male","N0",190,94,20,14,18.8,96,"NA",NA
"69","MVZ:Mamm:236576","Brazil","FMM379","Female","N1",171,85,17,15,18.4,86,"294",NA
"70","MVZ:Mamm:236581","Brazil","FMM397","Female","N1",185,85,19,16,16.4,100,"557",NA
"71","MVZ:Mamm:236583","Brazil","FMM403","Female","N1",173,86,17,15,15.1,87,"446",NA
"72","MVZ:Mamm:236586","Brazil","FMM413","Female","N1",177,89,19,14,18,88,"308",NA
"73","MVZ:Mamm:236589","Brazil","FMM416","Female","N1",186,95,17,14,15.75,91,"593",NA
"74","MVZ:Mamm:236591","Brazil","FMM418","Female","N1",180,91,18,15,17.3,89,"308",NA
"75","MVZ:Mamm:236592","Brazil","FMM419","Female","N1",170,86,18,13,13.3,84,"593",NA
"76","MVZ:Mamm:236593","Brazil","FMM420","Female","N1",171,88,18,15,16.5,83,"486",NA
"77","MVZ:Mamm:236595","Brazil","FMM438","Female","N1",186,94,17,13,14.3,92,"530",NA
"78","MVZ:Mamm:236598","Brazil","FMM449","Female","N1",184,90,16,15,13.2,94,"441",NA
"79","MVZ:Mamm:236599","Brazil","FMM450","Female","N1",170,76,16,13,14.5,94,"432",NA
"80","NA","Brazil","FMM363","Female","N1",176,90,17,14,14.5,86,"245",NA
"81","NA","Brazil","FMM369","Female","N1",150,76,15,14,13.4,74,"245",NA
"82","NA","Brazil","FMM400","Female","N1",186,88,19,15,19.1,98,"268",NA
"83","NA","Brazil","FMM368","Female","N1",163,80,15,15,14.01,83,"292",NA
"84","NA","Brazil","FMM362","Female","N1",176,82,18,16,26,94,"295",NA
"85","NA","Brazil","FMM396","Female","N1",184,90,18,15,14.9,94,"316",NA
"86","NA","Brazil","FMM493","Female","N1",168,81,19,14,NA,87,"365","preg"
"87","NA","Brazil","FMM422","Female","N1",165,84,19,15,17.9,81,"384",NA
"88","NA","Brazil","FMM432","Female","N1",165,84,19,15,17.9,81,"384",NA
"89","NA","Brazil","FMM364","Female","N1",180,86,18,13,14.5,94,"425",NA
"90","NA","Brazil","FMM365","Female","N1",181,86,19,14,14.6,95,"425",NA
"91","NA","Brazil","FMM366","Female","N1",186,88,18,14,15.8,98,"425",NA
"92","NA","Brazil","FMM367","Female","N1",182,87,18,14,14,95,"425",NA
"93","NA","Brazil","FMM404","Female","N1",170,88,18,16,16.5,82,"446",NA
"94","NA","Brazil","FMM459","Female","N1",162,82,19,14,14.9,80,"453",NA
"95","NA","Brazil","FMM477","Female","N1",175,85,19,NA,18.7,90,"510",NA
"96","NA","Brazil","FMM385","Female","N1",175,89,18,15,15.5,86,"512",NA
"97","NA","Brazil","FMM394","Female","N1",164,83,19,15,15,81,"557",NA
"98","NA","Brazil","FMM402","Female","N1",175,88,18,15,15.2,87,"557",NA
"99","NA","Brazil","FMM387","Female","N1",171,82,16,15,16.6,89,"558",NA
"100","NA","Brazil","FMM295","Female","N1",158,87,19,13,11.7,71,"NA",NA
"101","NA","Brazil","FMM300","Female","N1",173,85,20,13,13.3,88,"NA",NA
"102","NA","Brazil","FMM301","Female","N1",165,86,18,18,12.7,79,"NA",NA
"103","NA","Brazil","FMM302","Female","N1",159,84,16,13,13,75,"NA",NA
"104","NA","Brazil","FMM303","Female","N1",147,79,17,13,11,68,"NA",NA
"105","NA","Brazil","FMM304","Female","N1",155,83,18,15,12.3,72,"NA",NA
"106","NA","Brazil","FMM307","Female","N1",162,89,16,14,15.3,73,"NA",NA
"107","NA","Brazil","FMM309","Female","N1",162,88,17,13,13.4,74,"NA",NA
"108","NA","Brazil","FMM310","Female","N1",167,84,17,14,11.4,83,"NA",NA
"109","NA","Brazil","FMM311","Female","N1",171,84,18,15,11.6,87,"NA",NA
"110","NA","Brazil","FMM312","Female","N1",169,83,17,15,11.8,86,"NA",NA
"111","NA","Brazil","FMM313","Female","N1",162,84,18,15,13.9,78,"NA",NA
"112","NA","Brazil","FMM316","Female","N1",171,90,17,15,22.1,81,"NA",NA
"113","NA","Brazil","FMM317","Female","N1",171,84,17,14,NA,87,"NA",NA
"114","NA","Brazil","FMM319","Female","N1",182,90,17,14,NA,92,"NA","preg"
"115","NA","Brazil","FMM320","Female","N1",181,91,19,16,15.8,90,"NA",NA
"116","NA","Brazil","FMM321","Female","N1",150,83,16,13,11.9,67,"NA",NA
"117","NA","Brazil","FMM322","Female","N1",156,74,17,15,12.2,82,"NA",NA
"118","NA","Brazil","FMM323","Female","N1",160,81,18,15,11,79,"NA",NA
"119","NA","Brazil","FMM324","Female","N1",158,81,17,14,11.4,77,"NA",NA
"120","NA","Brazil","FMM325","Female","N1",165,81,16,14,15,84,"NA",NA
"121","NA","Brazil","FMM326","Female","N1",165,85,17,15,12.3,80,"NA",NA
"122","NA","Brazil","FMM332","Female","N1",150,82,17,15,10.9,68,"NA",NA
"123","NA","Brazil","FMM333","Female","N1",150,79,16,15,10.7,71,"NA",NA
"124","NA","Brazil","FMM336","Female","N1",177,85,19,14,12.5,92,"NA",NA
"125","NA","Brazil","FMM337","Female","N1",173,87,17,15,12.4,86,"NA",NA
"126","NA","Brazil","FMM338","Female","N1",149,76,16,13,10,73,"NA",NA
"127","NA","Brazil","FMM339","Female","N1",161,75,16,15,18.6,86,"NA",NA
"128","NA","Brazil","FMM345","Female","N1",169,88,18,14,17.9,81,"NA",NA
"129","NA","Brazil","FMM346","Female","N1",168,87,18,14,15.3,81,"NA",NA
"130","NA","Brazil","FMM347","Female","N1",178,92,18,14,15,86,"NA",NA
"131","NA","Brazil","FMM352","Female","N1",178,86.5,18.1,13.5,16.8,91.5,"NA",NA
"132","NA","Brazil","FMM353","Female","N1",160,80,18,13,11.8,80,"NA",NA
"133","NA","Brazil","FMM388","Female","N1",172,89,18,15,12.1,83,"NA",NA
"134","NA","Brazil","FMM401","Female","N1",155,77,16,19,12.5,78,"NA",NA
"135","NA","Brazil","FMM628","Female","N1",150,83,18,13,12,67,"NA",NA
"136","MVZ:Mamm:236569","Brazil","FMM357","Male","N1",173,84.5,17.5,14.4,14.1,88.5,"425",NA
"137","MVZ:Mamm:236570","Brazil","FMM358","Male","N1",177,90,17.2,13.5,14.6,87,"231",NA
"138","MVZ:Mamm:236571","Brazil","FMM359","Male","N1",181,88.5,18.4,14,18.4,92.5,"462",NA
"139","MVZ:Mamm:236572","Brazil","FMM360","Male","N1",189,91,17,15,31.9,98,"295",NA
"140","MVZ:Mamm:236573","Brazil","FMM375","Male","N1",184,88,18,14,15.9,96,"245",NA
"141","MVZ:Mamm:236574","Brazil","FMM376","Male","N1",173,86,18,14,14.7,87,"433",NA
"142","MVZ:Mamm:236577","Brazil","FMM380","Male","N1",203,90,18,14,25.4,113,"254",NA
"143","MVZ:Mamm:236578","Brazil","FMM381","Male","N1",189,90,18,15,18.5,99,"294",NA
"144","MVZ:Mamm:236579","Brazil","FMM384","Male","N1",180,89,17,15,22.1,91,"294",NA
"145","MVZ:Mamm:236580","Brazil","FMM386","Male","N1",174,84,18,14,16.8,90,"NA",NA
"146","MVZ:Mamm:236582","Brazil","FMM399","Male","N1",173,86,18,NA,13.8,87,"NA","damaged ear"
"147","MVZ:Mamm:236585","Brazil","FMM412","Male","N1",181,90,17,14,29.9,91,"308",NA
"148","MVZ:Mamm:236587","Brazil","FMM414","Male","N1",155,NA,18,NA,18.6,90,"354","damaged tail and ear"
"149","MVZ:Mamm:236588","Brazil","FMM415","Male","N1",181,89,17,14,26.2,92,"NA",NA
"150","MVZ:Mamm:236590","Brazil","FMM417","Male","N1",184,91,18,15,24.5,93,"593",NA
"151","MVZ:Mamm:236596","Brazil","FMM441","Male","N1",168,85,18,15,16.6,83,"404",NA
"152","MVZ:Mamm:236597","Brazil","FMM448","Male","N1",190,95,16,13,14.8,95,"413",NA
"153","NA","Brazil","FMM390","Male","N1",176,85,NA,15,17.2,91,"271",NA
"154","NA","Brazil","FMM421","Male","N1",170,85,18,15,16.7,85,"306",NA
"155","NA","Brazil","FMM431","Male","N1",170,85,18,15,16.7,85,"306",NA
"156","NA","Brazil","FMM476","Male","N1",176,87,19,15,20.4,89,"351",NA
