"","DOB","DateMeasured","Age_days","Age_weeks","Age_category","Population","Generation","Line","Mouse_ID","Sex","Environment","Body_Weight_g","Tail_Length_mm","PopEnv"
"1","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.89,72.5,"Brazil - Cold"
"2","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ2","Male","Warm",10.35,76,"Brazil - Warm"
"3","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ4","Male","Warm",14.42,83,"Brazil - Warm"
"4","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ6","Male","Cold",12.52,73,"Brazil - Cold"
"5","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ3","Female","Cold",10.95,72.5,"Brazil - Cold"
"6","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ5","Female","Warm",9.38,74.5,"Brazil - Warm"
"7","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ7","Female","Warm",12.03,81,"Brazil - Warm"
"8","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ8","Male","Cold",12.92,76,"Brazil - Cold"
"9","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ9","Female","Warm",11.39,79.5,"Brazil - Warm"
"10","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ11","Female","Warm",10.71,79.5,"Brazil - Warm"
"11","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ10","Male","Warm",12.78,78.5,"Brazil - Warm"
"12","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ12","Male","Cold",13.18,76,"Brazil - Cold"
"13","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ14","Male","Warm",10.96,78,"Brazil - Warm"
"14","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ13","Male","Cold",11.59,70.5,"Brazil - Cold"
"15","10/29/18","1/16/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ19","Female","Cold",10.86,71,"Brazil - Cold"
"16","10/29/18","1/16/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.83,73,"Brazil - Cold"
"17","10/29/18","1/16/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.79,77.5,"Brazil - Warm"
"18","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.92,80,"Brazil - Warm"
"19","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ20","Male","Cold",12.29,74,"Brazil - Cold"
"20","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ25","Female","Cold",11.62,75.5,"Brazil - Cold"
"21","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ27","Female","Warm",10.87,80.5,"Brazil - Warm"
